,PC1,PC2,Type
S_10141.F.skin.head.T1.3,0.241962759,0.032596235,add_Mammal_animal
S_1734.BD.NBS1051,0.173656475,0.031603564,add_Mammal_animal
S_714.outsidemouthT4.U5,0.25292582,0.02297973,add_Mammal_animal
S_894.YY1637.lane5.NoIndex.L005,0.171238809,-0.073595627,add_Mammal_animal
S_ERR1310279,-0.081438558,0.225940253,add_Mammal_animal
S_ERR1310277,-0.089587678,0.223998057,add_Mammal_animal
S_ERR969865,-0.077983904,0.23154866,add_Mammal_animal
S_ERR969855,-0.081060804,0.23282347,add_Mammal_animal
S_SRR3344902,-0.004323495,0.15003892,add_Mammal_animal
S_10141.D.skin.body.T3.4,0.157600183,0.084015216,add_Mammal_animal
S_1889.outsidemouthT5.U2,0.145352847,0.088805167,add_Mammal_animal
S_1889.outsidemouthT5.U4,0.132234085,0.10009662,add_Mammal_animal
S_1885.007CTR1,0.224722181,0.028260173,add_Mammal_animal
S_10141.F.ab.swab.T0.1,0.180676419,0.034462847,add_Mammal_animal
S_10141.F.skin.head.T3.3,0.204085066,0.028312025,add_Mammal_animal
S_10141.F.skin.body.T3.3,0.078370889,0.030527202,add_Mammal_animal
S_10141.G.skin.body.T3.1,0.224957029,0.019913998,add_Mammal_animal
S_1885.090NYR1,0.195776818,0.034050318,add_Mammal_animal
S_1885.Ixs109R2b,0.201091724,0.034588012,add_Mammal_animal
S_1885.013CTR3,0.198467415,0.033304404,add_Mammal_animal
S_1885.088NYR3b,0.199173244,0.034905794,add_Mammal_animal
S_1734.LD.DTS1224,0.178806918,0.068888109,add_Mammal_animal
S_1885.011CTR3,0.193027122,0.034883789,add_Mammal_animal
S_1885.Ixs07R2,0.196450849,0.034092533,add_Mammal_animal
S_1885.Ixs05R2,0.192187025,0.035334481,add_Mammal_animal
S_1885.013CTR1,0.197368974,0.035606916,add_Mammal_animal
