,PC1,PC2,Type
S_2202.Stool202,-0.267577075,-0.069715212,Gut
S_2202.Stool185,-0.2102451,-0.065878188,Gut
S_2202.Stool101,-0.226094496,-0.044859247,Gut
S_2202.Stool119,-0.259615949,-0.048369413,Gut
S_2202.Stool479,-0.361283417,-0.050612639,Gut
S_2202.Stool342,-0.350846196,-0.047893116,Gut
S_2202.Stool291,-0.345676791,-0.02986419,Gut
S_2202.Stool351,-0.158315623,-0.098872591,Gut
S_2202.Stool507,-0.355111934,-0.054153744,Gut
S_2202.Stool398,-0.308349885,-0.05956798,Gut
S_2202.Stool150,-0.286557584,-0.047379252,Gut
S_2202.Stool11,-0.20431769,-0.067288235,Gut
S_2202.Stool88,-0.242767092,-0.002369108,Gut
S_2202.Stool225,-0.279069902,-0.061640154,Gut
S_2202.Stool303,-0.222643763,-0.059911383,Gut
S_2202.Stool240,-0.314894909,-0.050632202,Gut
S_2202.Stool313,-0.203831839,-0.068139448,Gut
S_2202.Stool316,-0.172565214,-0.099307002,Gut
S_2202.Stool503,-0.279372158,-0.048282306,Gut
S_2202.Stool208,-0.163417231,-0.095150017,Gut
S_2202.Stool167,-0.169634824,-0.077447799,Gut
S_2202.Stool543,-0.303645922,-0.05451158,Gut
S_2202.Stool375,-0.254671313,-0.053010334,Gut
S_2202.Stool417,-0.31235588,-0.054219416,Gut
S_2202.Stool123,-0.253542055,-0.04623444,Gut
S_2202.Stool274,-0.333966412,-0.04772515,Gut
S_2202.Stool47,-0.230559577,-0.073815168,Gut
S_2202.Stool121,-0.312872608,-0.045198651,Gut
S_2202.Stool307,-0.260288427,-0.054818683,Gut
S_2202.Stool366,-0.260466229,-0.052873618,Gut
S_2202.Stool205,-0.288168662,-0.054644899,Gut
S_2202.Stool186,-0.257110987,-0.054893069,Gut
S_2202.Stool529,-0.290148593,-0.046473808,Gut
S_2202.Stool233,-0.180917937,-0.08899327,Gut
S_2202.Stool164,-0.258533202,-0.056397965,Gut
S_2202.Stool109,-0.232259618,0.035671222,Gut
S_2202.Stool153,-0.209640641,-0.056468744,Gut
S_2202.Stool86,-0.167480041,-0.0768944,Gut
S_2202.Stool83,-0.155622816,-0.070758333,Gut
S_2202.Stool523,-0.320951928,-0.048907467,Gut
S_2202.Stool337,-0.230394831,-0.048018294,Gut
S_2202.Stool312,-0.280243199,-0.024863727,Gut
S_2202.Stool502,-0.347671398,-0.052955123,Gut
S_2202.Stool2,-0.235383823,-0.057993434,Gut
S_2202.Stool23,-0.279346967,-0.057819058,Gut
S_2202.Stool478,-0.350457179,-0.044110189,Gut
S_2202.Stool483,-0.300408219,-0.061981603,Gut
S_2202.Stool474,-0.258110495,-0.064524044,Gut
S_2202.Stool377,-0.193420164,-0.072376008,Gut
S_2202.Stool493,-0.332741151,-0.047144323,Gut
S_2202.Stool485,-0.133211442,0.083536322,Gut
S_2202.Stool15,-0.252616158,-0.064946858,Gut
S_2202.Stool264,-0.348321587,-0.042197873,Gut
